Albanian feminine given names
American feminine given names
Arabic feminine given names
Armenian feminine given names
Belarusian feminine given names‎ 
Bosniak feminine given names
Bosnian feminine given names‎ 
Breton feminine given names‎ 
Bulgarian feminine given names‎ 
Croatian feminine given names‎ 
Czech feminine given names‎ 
Danish feminine given names‎ 
Dutch feminine given names‎ 
Egyptian feminine given names
English feminine given names‎ 
English-language feminine given names‎ 
Estonian feminine given names
European feminine given names
Feminine given names
Finnish feminine given names
Forms of Parvati‎ 
French feminine given names
Georgian feminine given names‎ 
German feminine given names
Greek feminine given names
Hebrew feminine given names
Hindu goddesses‎ 
Hungarian feminine given names
Icelandic feminine given names‎ 
Indian feminine given names
Iranian feminine given names
Irish feminine given names‎ 
Irish-language feminine given names‎ 
Italian feminine given names
Japanese feminine given names
Jewish feminine given names
Korean feminine given names
Latin feminine given names
Latvian feminine given names‎ 
Lithuanian feminine given names‎ 
Macedonian feminine given names‎ 
Mahavidyas‎ 
Montenegrin feminine given names‎ 
Navadurgas‎ 
Norwegian feminine given names‎ 
Pakistani feminine given names
Persian feminine given names
Polish feminine given names‎ 
Portuguese feminine given names
Romanian feminine given names
Russian feminine given names‎ 
Scandinavian feminine given names
Scottish feminine given names‎ 
Scottish Gaelic feminine given names‎ 
Serbian feminine given names‎ 
Slavic feminine given names
Slovak feminine given names‎ 
Slovene feminine given names‎ 
Spanish feminine given names
Swedish feminine given names‎ 
Swiss feminine given names
Turkish feminine given names
Ukrainian feminine given names‎ 
Welsh feminine given names‎ 
